nodeid,markers
tests/journeys/test_arithmetic.py::test_01_service_total[A price=0.01],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[A price=1],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[A price=99.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[A price=333.33],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[A price=500],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[A price=1234.56],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[A price=99999.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[B qty=1],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[B qty=2],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[B qty=3],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[B qty=7],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[B qty=99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[C line_disc=0%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[C line_disc=10%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[C line_disc=33.33%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[C line_disc=50%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[C line_disc=100%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[D cart_pct=0%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[D cart_pct=10%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[D cart_pct=15.5%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[D cart_pct=33.33%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[D cart_pct=100%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[E cart_flat=0],P1|arithmetic|journey|module_billing|parametrize
