module,tag,method,path,scoping,auth_required,path_params,required_query,query_params,has_body,documented_responses,rspec_coverage,rspec_file,summary
Appointment Calendar,Bookings,POST,/appointments,global,yes,,,,yes,200|401|422,covered,spec/requests/appointments_calendar_mutations_spec.rb,Create a booking (with per-line stylists)
Appointment Calendar,Bookings,PUT,/appointments/{id},token-only/IDOR,yes,id,,,yes,200|401|422,covered,spec/requests/appointments_calendar_mutations_spec.rb,Edit a booking
Appointment Calendar,Appointments,PUT,/appointments/{id}/reschedule,token-only/IDOR,yes,id,,,yes,200|422,covered,spec/requests/appointments_spec.rb,Reschedule Appointment
Appointment Calendar,Bookings,PATCH,/appointments/{id}/status,token-only/IDOR,yes,id,,,yes,200|401|422,covered,spec/requests/appointments_calendar_mutations_spec.rb,Set booking status (the status strip)
Appointment Calendar,Day Grid,GET,/salons/{id}/appointments,path,yes,id,,date|status|staff_id|q|page|per_page,no,200|400|401,covered,spec/requests/appointment_calendar_swagger_doc_spec.rb,Day grid — bookings for one date (also serves the legacy list)
Appointment Calendar,Sidebar,GET,/salons/{salon_id}/appointments/gaps,path,yes,salon_id,,date|min_minutes|staff_id|from_now|limit,no,200|400|401,covered,spec/requests/calendar_week_gaps_summary_spec.rb,Empty Chair Opportunities — idle windows per stylist
Appointment Calendar,Sidebar,GET,/salons/{salon_id}/appointments/summary,path,yes,salon_id,,date,no,200|400|401,covered,spec/requests/calendar_week_gaps_summary_spec.rb,Sidebar stat tiles for one date
Appointment Calendar,Week View,GET,/salons/{salon_id}/appointments/week,path,yes,salon_id,,start_date,no,200|400|401,covered,spec/requests/calendar_week_gaps_summary_spec.rb,Week view — booking counts per stylist per day
Appointment Calendar,Resources,GET,/salons/{salon_id}/resources,path,yes,salon_id,,is_active|resource_type,no,200|401,covered,spec/requests/appointment_calendar_swagger_doc_spec.rb,"List chairs, rooms and stations"
Appointment Calendar,Resources,POST,/salons/{salon_id}/resources,path,yes,salon_id,,,yes,201|401|422,covered,spec/requests/calendar_resources_waitlist_spec.rb,Create a resource
Appointment Calendar,Resources,DELETE,/salons/{salon_id}/resources/{id},path,yes,salon_id|id,,,no,200|401|404,covered,spec/requests/calendar_resources_waitlist_spec.rb,Delete a resource
